,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
406,Rozbitkowie w dżungli,Warszawa,Zagadkownia,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,100 opinii,Polska: 406. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
407,Chory Lekarz,Zamość,Escape Room Zamość,2-6 osób,60 minut,Thriller,początkujący,2 opinie,Polska: 408. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
408,Bezludna Wyspa,Nowy Sącz,4Fun Escape Room Nowy Sącz,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,9 opinii,Polska: 407. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
409,Śmierć muzealnika,Stargard,Muzeum Archeologiczno-Historyczne Stargard,2-6 osób,60 minut,Kryminalny,doświadczony,7 opinii,Polska: 409. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Drzwi zawsze otwarte,Oświetlenie awaryjne,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
410,Laboratorium Frankensteina,Lublin,LetMeOut,2-6 osób,60 minut,Przygodowy,początkujący,5 opinii,Polska: 410. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
411,Duchy Bastei,Stargard,Muzeum Archeologiczno-Historyczne Stargard,2-6 osób,60 minut,Thriller,początkujący,7 opinii,Polska: 411. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Drzwi zawsze otwarte,Oświetlenie awaryjne,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
412,Cela,Karpacz,Pokoje Tajemnic,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,38 opinii,Polska: 412. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
413,Szalony naukowiec,Żory,Open The Lock,2-5 osób,60 minut,Fabularny,śr. zaawansowani,12 opinii,Polska: 413. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
414,Kara Śmierci - Średniowieczny Loch,Wrocław,LetMeOut,2-5 osób,60 minut,Przygodowy,początkujący,38 opinii,Polska: 414. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
415,Więzienie,Wrocław,Secret Room & Brain Code,2-5 osób,60 minut,Kryminalny,początkujący,202 opinie,Polska: 416. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
416,Posterunek 13,Bielsko-Biała,HURRY UP,2-5 osób,60 minut,Kryminalny,początkujący,50 opinii,Polska: 415. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
417,Cosa nostra,Poznań,Time 4 Secrets,2-4 osoby,60 minut,Kryminalny,śr. zaawansowani,203 opinie,Polska: 417. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
418,Amazonia - Wyprawa w nieznane,Szczecin,Escape Room Szczecin,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,8 opinii,Polska: 418. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
419,Muzeum Tortur,Rzeszów,WydostanSie Escape Rooms,2-6 osób,60 minut,Historyczny,początkujący,21 opinii,Polska: 419. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
420,Tajemnica Egipskich Bogów,Gorzów Wielkopolski,Open The Lock,2-5 osób,60 minut,Historyczny,początkujący,20 opinii,Polska: 420. miejsce,NAN,NAN,NAN,NAN,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
421,Nawiedzony Schowek,Nowy Sącz,4Fun Escape Room Nowy Sącz,2-6 osób,60 minut,Horror,śr. zaawansowani,10 opinii,Polska: 421. miejsce,NAN,NAN,NAN,NAN,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
422,Wyspa Skarbów,Giżycko,Pokoje zagadek,2-5 osób,60 minut,Przygodowy,początkujący,3 opinie,Polska: 422. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
423,Szpieg z PRL-u,Kraków,Zoltar Park Kraków,2-5 osób,45 minut,Kryminalny,śr. zaawansowani,5 opinii,Polska: 423. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
424,Czarownice z Eylau,Iława,Open The Lock,2-5 osób,60 minut,Thriller,śr. zaawansowani,5 opinii,Polska: 424. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
425,Bunkier 2 : Biuro Komendanta,Rzeszów,WydostanSie Escape Rooms,2-5 osób,60 minut,Kryminalny,początkujący,9 opinii,Polska: 425. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
426,Legenda Króla Artura,Kraków,Locked UP,2-5 osób,60 minut,Przygodowy,początkujący,6 opinii,Polska: 427. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
427,Na Skraju Lasu,Gorzów Wielkopolski,Open The Lock,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,9 opinii,Polska: 426. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
428,Opuszczona klinika,Kielce,Unlock the door,2-5 osób,50 minut,Thriller,początkujący,4 opinie,Polska: 428. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
429,Skarb Templariuszy,Iława,Open The Lock,2-5 osób,60 minut,Przygodowy,początkujący,10 opinii,Polska: 429. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
430,Szalone lata 80'te,Janów Lubelski,Zoom Natury,2-8 osób,60 minut,Fabularny,śr. zaawansowani,4 opinie,Polska: 430. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
431,Magia Zielonej Komnaty,Kraków,Locked UP,2-5 osób,60 minut,Przygodowy,doświadczony,8 opinii,Polska: 431. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
432,Magiczny Las,Łódź,Tkalnia Zagadek KIDS,2-7 osób,60 minut,Dla dzieci,początkujący,4 opinie,Polska: 432. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
433,Atomowa Groza,Kraków,Zoltar Park Kraków,2-5 osób,70 minut,Historyczny,doświadczony,7 opinii,Polska: 433. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
434,Dexter,Kielce,Unlock the door,1-5 osób,50 minut,Kryminalny,doświadczony,1 opinia,Polska: 434. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
435,Noc w muzeum,Stargard,Muzeum Archeologiczno-Historyczne Stargard,2-6 osób,60 minut,Historyczny,eksperci,3 opinie,Polska: 435. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Drzwi zawsze otwarte,Oświetlenie awaryjne,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
436,Joker,Bielsko-Biała,HURRY UP,2-5 osób,60 minut,Kryminalny,doświadczony,64 opinie,Polska: 436. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
437,Galeria Sztuki,Słupsk,TrapRooms,2-8 osób,60 minut,Przygodowy,początkujący,5 opinii,Polska: 437. miejsce,NAN,NAN,NAN,NAN,Gra bez aktora,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
438,Kraina Czarów,Giżycko,Pokoje zagadek,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,8 opinii,Polska: 438. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
439,Ekspedycja na Marsa,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,25 opinii,Polska: 439. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
440,Piwnica dziadka,Gdańsk,Podziemna pułapka,2-4 osoby,60 minut,Abstrakcyjny,początkujący,68 opinii,Polska: 440. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
441,Statek Kosmiczny,Łódź,Tkalnia Zagadek KIDS,2-7 osób,60 minut,Dla dzieci,początkujący,2 opinie,Polska: 441. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
442,Sherlock - Święty Grall,Szczecin,Escape Room Szczecin,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,4 opinie,Polska: 442. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
443,Domek pełen emocji,Dębki,Locked Houses,1-4 osoby,60 minut,Przygodowy,brak informacji,2 opinie,Polska: 443. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
444,Magiczny Sklep z Różdżkami,Wisła,Zamek Zagadek,2-8 osób,65 minut,Fantasy,śr. zaawansowani,13 opinii,Polska: 444. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,angielski,czeski,polski,słowacki
445,Zaginione Kryształy 2.0,Kraków,Gamescape Kraków,2-5 osób,60 minut,Dla dzieci,na pierwszy raz,1 opinia,Polska: 445. miejsce,10,"Obsługa:
10/10","Klimat:
10/10","Trudność wg. graczy:
Łatwy",Przyjazny dzieciom,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
446,13 Posterunek,Zamość,Escape Room Zamość,2-6 osób,60 minut,Kryminalny,początkujący,1 opinia,Polska: 446. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
447,Przygody Pirata Joe,Białystok,Unlocked - Escape Room,2-4 osoby,60 minut,Przygodowy,początkujący,1 opinia,Polska: 447. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
448,Outdoor Escape - Magiczny Portal,Kraków,Gamescape Kraków,2-6 osób,150 minut,Dla dzieci,początkujący,1 opinia,Polska: 448. miejsce,10,"Obsługa:
10/10","Klimat:
10/10","Trudność wg. graczy:
Łatwy",Przyjazny dzieciom,Przyjazny zwierzętom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
449,Mały Książę. Sen Pilota,Kluczbork,Escape Room Kluczbork,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,2 opinie,Polska: 449. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
450,Gra Miejska - Koziołki,Poznań,Escapelandia,2-6 osób,70 minut,Fabularny,początkujący,1 opinia,Polska: 450. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
451,Nawiedzona piwnica,Janów Lubelski,Zoom Natury,2-6 osób,60 minut,Thriller,śr. zaawansowani,1 opinia,Polska: 451. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
452,Gabinet Kristera,Jedlina-Zdrój,Zespół Pałacowo-Hotelowy Jedlinka,2-4 osoby,60 minut,Fabularny,doświadczony,1 opinia,Polska: 452. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
